date,name,wikipedia_title,age,description,qid,sitelink_count
2015-01-01,Barbara Atkinson,Barbara_Atkinson,88,British actress (''Z-Cars''),Q4858725,3
2015-01-01,Staryl C. Austin,Staryl_C._Austin,94,American air force brigadier general,Q18157121,6
2015-01-01,Ulrich Beck,Ulrich_Beck,70,"German sociologist, heart attack",Q76844,55
2015-01-01,Fiona Cumming,Fiona_Cumming,77,British television director (''Doctor Who''),Q18810996,6
2015-01-01,Eric Cunningham,Eric_Cunningham,65,"Canadian politician, Ontario MPP for Wentworth North (1975–1984)",Q5386328,6
2015-01-01,Mario Cuomo,Mario_Cuomo,82,"American politician, Governor of New York (1983–1994), heart failure",Q521145,46
2015-01-01,Donna Douglas,Donna_Douglas,82,"American actress (''The Beverly Hillbillies, Frankie and Johnny, The Twilight Zone''), pancreatic cancer",Q3036761,32
2015-01-01,Matthew Franjola,Matthew_Franjola,72,American journalist (Associated Press) and photographer,Q18808980,4
2015-01-01,Jeff Golub,Jeff_Golub,59,"American guitarist, progressive supranuclear palsy",Q6173909,10
2015-01-01,Jack Howell,Jack_Howell_(physician),88,British physician,Q29643012,2
2015-01-01,Omar Karami,Omar_Karami,80,"Lebanese politician, Prime Minister (1990–1992, 2004–2005)",Q396606,35
2015-01-01,Bill Keating,Bill_Keating_(American_football),70,"American football player (Denver Broncos, Miami Dolphins) and attorney",Q4909669,5
2015-01-01,Tore Helge Larsen,Tore_Helge_Larsen,69,"Norwegian harness racer, cancer",Q18763731,2
2015-01-01,Géry Leuliet,Géry_Leuliet,104,"French Roman Catholic prelate, world's oldest Catholic bishop, Bishop of Amiens (1963–1985)",Q680168,14
2015-01-01,Boris Morukov,Boris_Morukov,64,"Russian physician and cosmonaut, STS-106 mission specialist",Q281604,29
2015-01-01,Kjell Noreik,Kjell_Noreik,85,Norwegian physician,Q11980864,4
2015-01-01,Ninón Sevilla,Ninón_Sevilla,93,"Cuban-born Mexican actress (''Aventurera'', ''La usurpadora''), heart attack",Q2419981,24
2015-01-01,William Lloyd Standish,William_Lloyd_Standish,84,"American federal judge, District Court Judge for the Western District of Pennsylvania (1987–2002)",Q8014645,5
2015-01-01,Manasa Vaniqi,Manasa_Vaniqi,62,"Fijian civil servant and lieutenant colonel, Permanent Secretary for Sugar (since 2009)",Q18752569,2
2015-01-01,Miller Williams,Miller_Williams,84,"American poet, Alzheimer's disease",Q6859278,7
2015-01-02,Per-Olof Åstrand,Per-Olof_Åstrand,92,Swedish physiologist,Q18708851,7
2015-01-02,James A. Barlow,James_A._Barlow,91,"American politician, member of the Wyoming House of Representatives (1983–1987)",Q18720502,3
2015-01-02,Charles Baur,Charles_Baur,85,"French politician, President of the Regional Council of Picardy (1976–1978, 1985–2004)",Q2958495,7
2015-01-02,Noel Cobb,Noel_Cobb,76,"American-born British philosopher, psychologist and author",Q18711032,6
2015-01-02,Ferdinand T. Day,Ferdinand_T._Day,96,American civil rights activist and educator,Q115143898,2
2015-01-02,Little Jimmy Dickens,Little_Jimmy_Dickens,94,"American country music singer (""May the Bird of Paradise Fly Up Your Nose""), cardiac arrest",Q706417,22
2015-01-02,Baldina Di Vittorio,Baldina_Di_Vittorio,94,Italian politician,Q18655732,5
2015-01-02,Danny Dunton,Danny_Dunton,90,English speedway rider and promoter,Q5220319,4
