name,death_date,view_date,days_from_death,interest
J.D. Salinger,2010-01-27,2009-12-28,-30,0
J.D. Salinger,2010-01-27,2009-12-29,-29,0
J.D. Salinger,2010-01-27,2009-12-30,-28,0
J.D. Salinger,2010-01-27,2009-12-31,-27,0
J.D. Salinger,2010-01-27,2010-01-01,-26,0
J.D. Salinger,2010-01-27,2010-01-02,-25,0
J.D. Salinger,2010-01-27,2010-01-03,-24,0
J.D. Salinger,2010-01-27,2010-01-04,-23,0
J.D. Salinger,2010-01-27,2010-01-05,-22,0
J.D. Salinger,2010-01-27,2010-01-06,-21,0
J.D. Salinger,2010-01-27,2010-01-07,-20,0
J.D. Salinger,2010-01-27,2010-01-08,-19,0
J.D. Salinger,2010-01-27,2010-01-09,-18,0
J.D. Salinger,2010-01-27,2010-01-10,-17,0
J.D. Salinger,2010-01-27,2010-01-11,-16,0
J.D. Salinger,2010-01-27,2010-01-12,-15,0
J.D. Salinger,2010-01-27,2010-01-13,-14,0
J.D. Salinger,2010-01-27,2010-01-14,-13,0
J.D. Salinger,2010-01-27,2010-01-15,-12,0
J.D. Salinger,2010-01-27,2010-01-16,-11,0
J.D. Salinger,2010-01-27,2010-01-17,-10,0
J.D. Salinger,2010-01-27,2010-01-18,-9,0
J.D. Salinger,2010-01-27,2010-01-19,-8,0
J.D. Salinger,2010-01-27,2010-01-20,-7,0
J.D. Salinger,2010-01-27,2010-01-21,-6,0
J.D. Salinger,2010-01-27,2010-01-22,-5,0
J.D. Salinger,2010-01-27,2010-01-23,-4,0
J.D. Salinger,2010-01-27,2010-01-24,-3,0
J.D. Salinger,2010-01-27,2010-01-25,-2,0
J.D. Salinger,2010-01-27,2010-01-26,-1,0
J.D. Salinger,2010-01-27,2010-01-27,0,0
J.D. Salinger,2010-01-27,2010-01-28,1,5
J.D. Salinger,2010-01-27,2010-01-29,2,3
J.D. Salinger,2010-01-27,2010-01-30,3,1
J.D. Salinger,2010-01-27,2010-01-31,4,0
J.D. Salinger,2010-01-27,2010-02-01,5,0
J.D. Salinger,2010-01-27,2010-02-02,6,0
J.D. Salinger,2010-01-27,2010-02-03,7,0
J.D. Salinger,2010-01-27,2010-02-04,8,0
J.D. Salinger,2010-01-27,2010-02-05,9,0
J.D. Salinger,2010-01-27,2010-02-06,10,0
J.D. Salinger,2010-01-27,2010-02-07,11,0
J.D. Salinger,2010-01-27,2010-02-08,12,0
J.D. Salinger,2010-01-27,2010-02-09,13,0
J.D. Salinger,2010-01-27,2010-02-10,14,0
J.D. Salinger,2010-01-27,2010-02-11,15,0
J.D. Salinger,2010-01-27,2010-02-12,16,0
J.D. Salinger,2010-01-27,2010-02-13,17,0
J.D. Salinger,2010-01-27,2010-02-14,18,0
J.D. Salinger,2010-01-27,2010-02-15,19,0
J.D. Salinger,2010-01-27,2010-02-16,20,0
