name,status,start,end,rows,error
Omar Sharif,ok,2015-07-01,2016-07-09,375,
E. L. Doctorow,ok,2015-07-01,2016-07-20,386,
Wes Craven,ok,2015-07-01,2016-08-29,426,
Jackie Collins,ok,2015-07-01,2016-09-18,446,
Yogi Berra,ok,2015-07-01,2016-09-21,449,
Maureen O'Hara,ok,2015-07-26,2016-10-23,456,
Scott Weiland,ok,2015-09-04,2016-12-02,456,
Lemmy Kilmister,ok,2015-09-29,2016-12-27,456,
David Bowie,ok,2015-10-12,2017-01-09,456,
Alan Rickman,ok,2015-10-16,2017-01-13,456,
Glenn Frey,ok,2015-10-20,2017-01-17,456,
Harper Lee,ok,2015-11-21,2017-02-18,456,
Nancy Reagan,ok,2015-12-07,2017-03-06,456,
Garry Shandling,ok,2015-12-25,2017-03-24,456,
Merle Haggard,ok,2016-01-07,2017-04-06,456,
Prince,ok,2016-01-22,2017-04-21,456,
Muhammad Ali,ok,2016-03-05,2017-06-03,456,
Anton Yelchin,ok,2016-03-21,2017-06-19,456,
Elie Wiesel,ok,2016-04-03,2017-07-02,456,
Kenny Baker,ok,2016-05-15,2017-08-13,456,
Gene Wilder,ok,2016-05-31,2017-08-29,456,
Edward Albee,ok,2016-06-18,2017-09-16,456,
Arnold Palmer,ok,2016-06-27,2017-09-25,456,
Shimon Peres,ok,2016-06-30,2017-09-28,456,
Leonard Cohen,ok,2016-08-09,2017-11-07,456,
Florence Henderson,ok,2016-08-26,2017-11-24,456,
Fidel Castro,ok,2016-08-27,2017-11-25,456,
John Glenn,ok,2016-09-09,2017-12-08,456,
Zsa Zsa Gabor,ok,2016-09-19,2017-12-18,456,
George Michael,ok,2016-09-26,2017-12-25,456,
Carrie Fisher,ok,2016-09-28,2017-12-27,456,
Debbie Reynolds,ok,2016-09-29,2017-12-28,456,
Mary Tyler Moore,ok,2016-10-27,2018-01-25,456,
John Hurt,ok,2016-10-27,2018-01-25,456,
Bill Paxton,ok,2016-11-27,2018-02-25,456,
Chuck Berry,ok,2016-12-18,2018-03-18,456,
Don Rickles,ok,2017-01-06,2018-04-06,456,
Erin Moran,ok,2017-01-22,2018-04-22,456,
Jonathan Demme,ok,2017-01-26,2018-04-26,456,
Chris Cornell,ok,2017-02-17,2018-05-18,456,
Roger Moore,ok,2017-02-22,2018-05-23,456,
