qid,gender,citizenship,occupation,cause_of_death
Q112048,male,Russia|Soviet Union,film screenwriter|film actor|theatre director|film director|stage actor|actor,traffic collision
Q1051041,female,Indonesia|Dutch East Indies,women's rights activist|novelist|writer,traffic collision
Q1065817,male,United States,novelist|journalist|writer|screenwriter,Alzheimer's disease
Q115601844,male,Kenya,marathon runner|athletics competitor|long-distance runner|athlete,traffic collision
Q104859,male,United States,autobiographer|test pilot|airman|military officer|entrepreneur|actor|astronaut,cancer
Q1126725,male,United States,auctioneer|journalist|politician,stroke
Q11109,male,United States,naval officer|jurist|lawyer|judge,stroke
Q1067812,male,United States,drummer|musician|songwriter,myocardial infarction
Q1139993,male,United States,professional wrestler|actor,myocardial infarction
Q10391249,male,Brazil,association football coach|association football player,myocardial infarction
Q11156,male,United States,jurist|professor|lawyer|judge,myocardial infarction
Q1155646,female,Japan,television writer|comics creator|essayist|comics writer|lyricist|mangaka|writer,breast cancer
Q111588744,female,Soviet Union|Ukraine,embroiderer|painter|fashion designer,famine
Q1179411,male,United Kingdom,autobiographer|journalist|association football coach|association football player,dementia
Q11132,female,United States,jurist|politician|lawyer|judge,dementia|respiratory disease
Q108941,female,United States,television actor|film actor|novelist|film producer|voice actor|script doctor|stage actor|playwright|singer|writer|screenwriter|spokesperson|actor,myocardial infarction
Q113898,male,Germany,sport cyclist|athlete,myocardial infarction
Q1041211,male,Italy,dub actor|film actor|television actor|film producer|stage actor|actor,myocardial infarction
Q1046993,male,Hungary,director|film director|actor|screenwriter,myocardial infarction
Q1097113,male,France,film actor|television actor|stage actor|playwright|actor|screenwriter,cancer
Q1101521,male,France,presenter|literary critic|journalist|television presenter|writer,cancer
Q1109236,male,Norway,speed skater|sport cyclist,cancer
Q1140491,male,Mexico,association football coach|association football player,cancer
Q10707,male,Zimbabwe,politician,cancer
Q1113992,female,Italy|Kingdom of Italy,trade unionist|partisan|politician|writer|teacher,Parkinson's disease
Q1181089,male,United States,television actor|film actor|voice actor|stage actor|musician|singer|actor,Parkinson's disease
Q110628,male,United States,television actor|film actor|stage actor|actor,disease
Q114063,male,Italy|Kingdom of Italy,film editor|production designer|film director|director|scenographer|film producer|television director|cinematographer|screenwriter|writer,disease
Q111317677,male,Soviet Union|Ukraine,public figure,conflagration
Q1174641,male,United States,philanthropist|political activist|chemical engineer|chemist|merchant|politician|entrepreneur|businessperson|engineer,prostate cancer
Q104372,female,United States,recording artist|film actor|television actor|musician|singer|politician|actor,pneumonia
Q105480,male,Zambia,freedom fighter|head of government|politician|teacher,pneumonia
Q107667,male,United States,military aviator|autobiographer|naval officer|military flight engineer|test pilot|astronaut,pneumonia
Q116650,male,Argentina,association football player,pneumonia
Q1006152,male,Italy,presenter|director|film director|television presenter|engineer|actor|screenwriter|writer,pneumonia
Q110374,male,United States,television actor|film actor|film producer|film director|screenwriter|actor,stroke
Q1177587,male,Romania,film actor|stage actor|politician|writer|actor,colorectal cancer
Q1101643,male,United States,laborer|bouncer|film actor|television actor|songwriter|extra|military officer|singer|sailor|military personnel|actor,heart failure
Q1138600,male,United States,rapper|musician|songwriter|record producer|singer,heart failure
Q1142513,male,Russia|Soviet Union,presenter|manufacturer|theatre director|film producer|film director|music video director|journalist|television presenter|television producer|screenwriter|actor,heart failure
Q11239,male,United States,commissioned armed forces officers|autobiographer|philanthropist|art collector|soldier|entomologist|financier|banker|statesperson|entrepreneur|businessperson|writer,heart failure
Q111980,male,Thailand,politician|businessperson,asthma
Q10296530,male,India,television actor|dancer|film actor|model|actor,asphyxia
Q1131535,male,United States,baseball player|basketball player,pancreatic cancer
Q1156266,female,United Kingdom,non-fiction writer|university teacher|geographer|economist,pancreatic cancer
Q11116,female,United States,Member of the Constitutional Court of Austria|jurist|lawyer|judge,pancreatic cancer
Q1041634,female,Italy|Kingdom of Italy,film actor|stage actor|journalist|television presenter,leukemia
Q11490,trans woman,United States,electrical engineer|university teacher|inventor|computer scientist,heart disease
Q1010436,male,Italy,film producer|film director|screenwriter,melanoma
Q11488414,male,Japan,journalist|war correspondent|writer,decapitation
Q102395,male,United States,biochemist|university teacher|chemist,respiratory failure
Q106685,male,Poland,theatre designer|theatre director|director|film producer|television director|theatre manager|painter|film director|illustrator|politician|screenwriter,respiratory failure
Q1042564,male,Italy,motorcycle racer,respiratory failure
Q1086279,male,France,musician|singer|composer,pulmonary emphysema|COVID-19
Q106221,male,United States,orchestrator|film score composer|bandleader|musician|conductor|composer,aircraft crash
Q106529,male,Switzerland|France,producer|art collector|film actor|television actor|director|film producer|stage actor|film director|musician|singer|writer|actor|screenwriter,lymphoma
Q106481,male,United Kingdom,film actor|television actor|theatre director|director|film producer|voice actor|stage actor|character actor|film director|graphic designer|musician|writer|actor|screenwriter,pancreatic cancer
Q109559,male,United States,molecular biologist|crystallographer|biophysicist|biochemist|biologist|university teacher|chemist,pancreatic cancer
Q1066361,male,Czech Republic|Czechoslovakia,film actor|film director|director|screenwriter|actor,respiratory failure
Q1131618,female,Mexico,film actor|television actor|stage actor|singer|actor,liver cancer
Q1065216,male,United States,opinion journalist|columnist|journalist|pundit|psychiatrist|speechwriter|physician|writer,small intestine cancer
Q115110885,female,Uganda,marathon runner|long-distance runner,multiple organ dysfunction syndrome
Q1120700,male,United States,autobiographer|film actor|television actor|voice actor|stage actor|actor,blunt trauma
Q1174579,male,United States|United Kingdom,social anthropologist|cultural anthropologist|trade unionist|anthropologist|university teacher|ethnologist|writer,acute pancreatitis|internal bleeding
Q108283,male,United States,science fiction writer|film actor|television actor|children's writer|director|theatre director|film producer|film director|stage actor|television director|singer|writer|musician|filmmaker|character actor|screenwriter|actor,cardiovascular disease
Q1041527,male,Italy,film actor|television actor|stage actor|actor,falling
Q106624,male,United States|Egypt,university teacher|chemist|inventor|physicist,spinal cord lymphoma
Q117439,male,Greece,Christian minister|university teacher|theologian,COVID-19
Q1000366,male,United States,jazz musician|jazz guitarist|guitarist|musician,COVID-19
Q1064011,male,Venezuela,politician|lawyer,surgical complications
Q109493880,male,Russia,military officer,bomb attack
Q111433188,male,Russia|Soviet Union|Ukraine,bank robber|autobiographer|militant|blogger|war correspondent|military personnel|writer,bomb attack
Q105396829,male,United States,Minecraft YouTuber|YouTuber,sarcoma
Q10390,male,United States,naval officer|autobiographer|soldier|aircraft pilot|television presenter|fighter pilot|author|politician|writer|screenwriter,glioblastoma
Q109051038,female,Ukraine,investigative journalist|cinematographer,gunshot wound
Q109337139,male,Ukraine,journalist|photojournalist|videographer|photographer,gunshot wound
Q106881,female,Italy|Kingdom of Italy,film actor|film director|comedian|stage actor|screenwriter|actor,dementia with Lewy bodies
Q105825,male,United States,film actor|television actor|film producer|voice actor|stage actor|musician|actor,prostate cancer
Q117249,male,Canada,recording artist|producer|film actor|film score composer|guitarist|lyricist|singer-songwriter|musician|record producer|singer|composer|screenwriter|actor,prostate cancer
Q106235,male,Germany|German Democratic Republic,non-fiction writer|foreign minister|university teacher|assessor|military personnel|politician|lawyer,cardiac arrest
Q116020,male,Switzerland,pop singer|songwriter|musician|pianist|singer,cardiac arrest
Q1138783,male,United States,professional wrestler|basketball player|bodyguard|actor,drowning
Q1029506,male,Spain,pop singer|DJ producer|singer|painter|songwriter|actor|composer,kidney failure
Q1112549,male,United Kingdom|The Bahamas|United Kingdom of Great Britain and Ireland,sailor,kidney failure
Q1166019,male,Iran|Pahlavi Iran,director|film director|translator|screenwriter,stabbing
Q1091285,trans woman,United States,film actor|stage actor|musician,brain cancer
Q1156878,male,United States,theoretical physicist|university teacher|physicist,brain cancer
Q1151134,male,Japan,association football player,surgical complications
Q101064944,female,South Africa,film actor|model|actor,bacterial sepsis
Q113568088,female,Russia,journalist|editor-in-chief|politician,truck bombing
Q1066772,male,United States,country musician|baseball player|guitarist|musician|songwriter|singer,COVID-19
Q1067412,male,Spain,real estate developer|association football player,COVID-19
Q1124093,male,Iran,association football player|association football coach|singer,COVID-19
Q102200,male,Hungary,translator|poet|politician|lawyer|writer,
Q102266,male,Canada|United States,molecular biologist|biophysicist|biochemist|biologist|university teacher|chemist|physicist,
Q102379,male,United States,molecular biologist|biochemist|biologist|university teacher|researcher|chemist,
